_id,SYS_ID,APPLICATION_TYPE,IN_DATE,PLANNING_DISTRICT,WARD,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,REFERENCE_FILE,SUB_TYPE,WORK_TYPE,ZONING_REVIEW,ZONING_DESIGNATION,COMMUNITY,EMPLOYMENT_DISTRICT,DESCRIPTION,HEARING_DATE,TIME_OF_MEETING,MEETING_LOCATION,C_OF_A_DESCISION,ANYONE_OBJECT_AT_MEETING,APPEAL_EXPIRY_DATE,OMB_ORDER_DATE,OMB_DESCISION,NUMBER_OF_LOTS_CREATED,CONDITION_EXPIRY_DATE,STATUSDESC
1865332,8883,MV,1999-11-10,Toronto East York,19,62,GOODWOOD PARK,CRES, ,M4C,A99EY145,Add/Alt to Existing Res <= 3 units,New R Building,NA,NA,NA,NA,"62 Goodwood Park Crescent - Minor Variance for Height  A99EY145
Record for Variance on this property is #109642 entered November 15, 1999","Dec 7, 1999",NA,NA,NA,NA,"Dec 29, 1999",NA,NA,NA,NA,Application Received
1865333,9668,MV,1999-11-15,Toronto East York,19,62,GOODWOOD PARK,CRES, ,M4C,A99EY145,All Other,Other,NA,NA,NA,NA,"62 Goodwood Park Crescent,   App A99EY145,  Record for REV (cc) is on Folder File #108861  Entered on November 10, 1999- this is because property is being divided.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865334,12710,MV,1999-11-25,Toronto East York,11,488,CLINTON,ST, ,M6G,A1999S,AddAlt to Res <= 3 units with OTC,R Addition,NA,NA,NA,NA,Rear elevated deck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865335,1084676,MV,2001-08-02,Etobicoke York,03,159,BURNHAMTHORPE,RD, ,M9A,NA,Add/Alt to Existing Res <= 3 units,R Addition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865336,1463686,CO,2004-05-28,North York,18,225,FINCH,AVE,E,M2N,NA,NA,Sever Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865337,1689358,MV,2006-03-20,North York,18,89,ESTELLE,AVE, ,   ,A0220/06NY,All Other,New R Building,Waiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865338,1974421,MV,2007-07-20,Toronto East York,12,2,ARDWOLD,GT, ,   ,NA,New Res dwellings <= 3 units,New R Building,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865339,1985085,MV,2007-08-20,Toronto East York,12,479,SPADINA,RD, ,M5P,NA,Add/Alt to Existing Res <= 3 units,R Addition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865340,2480555,MV,2009-08-25,North York,08,23,EASTVIEW,CRES, ,M5M,NA,New Res dwellings <= 3 units,New R Building,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865341,2649582,MV,2010-06-29,Etobicoke York,03,3,MARQUIS,AVE, ,M8X,NA,New Res dwellings <= 3 units,New R Building,Waiver,NA,NA,NA,**FOLDER TO BE DELETED - DUPLICATE**,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865342,2649586,MV,2010-06-29,Etobicoke York,03,3,MARQUIS,AVE, ,M8X,NA,New Res dwellings <= 3 units,New R Building,Waiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865343,2675458,MV,2010-07-29,North York,18,126,BYNG,AVE, ,M2N,A0546/10NY,Add/Alt to Existing Res <= 3 units,NR Addition,Preliminary Project Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865344,2709550,MV,2010-09-08,Unknown,NA,NA,NA, , ,   ,NA,AddAlt to Res <= 3 units with OTC,Other,Preliminary Project Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865345,2832869,MV,2011-02-23,North York,18,83,PRINCESS,AVE, ,M2N,A105/11NY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R4 - ZZC -,North York,NA,This is an application to permit the construction of a two storey dwelling. The existing dwelling would be demolished.,"Jul 27, 2011",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved with conditions,NA,"Aug 15, 2011",NA,NA,NA,NA,Application Received
1865346,2967022,CO,2011-08-12,Etobicoke York,05,10,KING GEORGE,RD, ,M9N,B45/11EYK,NA,Sever Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865347,3021478,MV,2011-11-04,North York,08,537,DOUGLAS,AVE, ,M5M,A779/11NY,New Res dwellings <= 3 units,New R Building,Waiver,R6(20) [WAIVER],North York,NA,"The applicant is proposing to construct a new two storey dwelling with an integral, at-grade, two-car garage on the above noted property.  The existing dwelling would be demolished.","Mar 14, 2012",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",APPROVED ON CONDITION,NA,"Apr 2, 2012",NA,NA,NA,NA,Application Received
1865348,3103555,MV,2012-03-30,Unknown,NA,NA,NA, , ,   ,B214/12EYK,New Res dwellings <= 3 units,New R Building,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865349,3150252,MV,2012-06-08,Unknown,NA,NA,NA, , ,   ,A332/12EYK,Add/Alt to Existing Res <= 3 units,New NR Building,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865350,3158654,MV,2012-06-20,Toronto East York,13,487,KING,ST,E,M5A,NA,All Other,Other,NA,NA,NA,NA,"**CREATED IN ERROR** 
June 11, 2018 - USED FOR TESTING PAT - cjovell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865351,3204203,MV,2012-08-29,Unknown,NA,NA,NA, , ,   ,NA,All Other,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865352,3281989,CO,2013-01-17,North York,18,191,EMPRESS,AVE, ,M2N,B001/13NY,NA,Sever Lot,Preliminary Project Review,R6 [PPR],North York,NA,The applicant is proposing the division of a parcel of residential lands into two parts for conveyance purposes for the creation of a new residential building lot on the above noted property. ,"Mar 20, 2013",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,NA,NA,NA,1,NA,Tentatively Scheduled
1865353,3281997,MV,2013-01-17,North York,18,191,EMPRESS,AVE, ,M2N,A036/13NY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R6 [PPR],North York,NA,The applicant is proposing to construct a two-storey dwelling with an integral garage on the west 10.66m portion (Part 1).,"Mar 20, 2013",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865354,3282009,MV,2013-01-17,North York,18,191,EMPRESS,AVE, ,M2N,A037/13NY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R6 [PPR],North York,NA,The applicant is proposing to construct a two-storey dwelling with an integral garage on the east 10.66m portion (Part 2).,"Mar 20, 2013",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,"Mar 25, 2014",NA,NA,NA,NA,Tentatively Scheduled
1865355,3284084,MV,2013-01-22,North York,08,1127,AVENUE,RD, ,M5N,A051/13NY,All Other,Other,Waiver,R2 Z0.6 (WAIVER),Toronto,NA,NA,"Apr 10, 2013",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865356,3284093,MV,2013-01-22,North York,08,1129,AVENUE,RD, ,M5N,A052/13NY,All Other,Other,Waiver,R2 Z0.6 (WAIVER),Toronto,NA,NA,"Apr 10, 2013",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865357,3292561,MV,2013-02-05,North York,15,62,OVERLEA,BLVD, ,M4H,A095/13NY,All Other,Other,Preliminary Project Review,BC(9) (BLD),East York,NA,To construct a new take-out restaurant with seating available.  Requested variance is parking related.,"Mar 20, 2013",11:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Apr 9, 2013",NA,NA,NA,NA,Tentatively Scheduled
1865358,3306794,CO,2013-03-05,North York,18,379,ELLERSLIE,AVE, ,M2R,B011/13NY,NA,Mortgage/Mortgage Discharge,Waiver,R4 (waiver),North York,NA,This is an application for the consent of the Committee of Adjustment to the division of a parcel of residential lands for conveyance purposes.  No construction is proposed.,"Apr 24, 2013",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,NA,NA,NA,1,NA,Tentatively Scheduled
1865359,3326373,CO,2013-04-03,North York,08,160,DOUGLAS,AVE, ,M5M,B019/13NY,NA,Lot Addition,Waiver,R2 Z0.6 (waiver),Toronto,NA,To obtain consent to sever a portion of the land for the purpose of a lot addition.,"Jul 4, 2013",NA,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",DELEGATED CONSENT REFUSED,NA,"Aug 1, 2013",NA,NA,NA,NA,Tentatively Scheduled
1865360,3331348,MV,2013-04-11,North York,08,323,HILLMOUNT,AVE, ,M6B,A291/13NY,Add/Alt to Existing Res <= 3 units,R Addition,Preliminary Project Review,R6 [PPR],North York,NA,To construct a two-storey addition (including a new attached garage) to the rear and east side of the existing dwelling and a new porch and bay window addition to the front of the existing dwelling. The applicant is proposing to make other interior and exterior alterations to the existing dwelling. The existing garage would be demolished.,"May 23, 2013",3:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Jun 12, 2013",NA,NA,NA,NA,Tentatively Scheduled
1865361,3340621,CO,2013-04-24,North York,08,147,BEDFORD PARK,AVE, ,M5M,B022/13NY,NA,Sever Lot,Waiver,R2 Z0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865362,3348580,MV,2013-05-06,Unknown,NA,NA,NA, , ,   ,NA,Add/Alt to Existing Res <= 3 units,R Addition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865363,3350456,MV,2013-05-08,Scarborough,24,1830,ELLESMERE,RD, ,M1H,A124/13SC,All Other,Other,Preliminary Project Review,Industrial (M) Zone [ZR],NA,Progress Employment District,"This application is for a variance to reduce the parking requirement for a proposal to convert the existing 2,484 m2 industrial building into a Place of Worship. ","Mar 16, 2017",9:30 a.m.,"Council Chamber, Scarborough Civic Centre, 150 Borough Dr., M1P 4N7",Refused,NA,"Apr 5, 2017",NA,NA,NA,NA,Refused
1865364,3355427,CO,2013-05-15,Toronto East York,19,325,WESTLAKE,AVE, ,M4C,B0044/13TEY,NA,Sever Lot,Preliminary Project Review,R1C(ZZC),NA,NA,To obtain consent to sever the property into two residential lots. ,"Jul 31, 2013",3:30 p.m.,"Committee Room 1, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,Yes,"Aug 26, 2013",NA,NA,1,NA,OMB Appeal
1865365,3355430,MV,2013-05-15,Toronto East York,19,325,WESTLAKE,AVE, ,M4C,A0429/13TEY,Add/Alt to Existing Res <= 3 units,R Addition,Preliminary Project Review,R1C(ZZC),Toronto,NA,To maintain the existing one-storey single family detached dwelling located on the reduced lot.,"Jul 31, 2013",3:30 p.m.,"Committee Room 1, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,Yes,"Aug 20, 2013",NA,NA,NA,NA,OMB Appeal
1865366,3355431,MV,2013-05-15,Toronto East York,19,325,WESTLAKE,AVE, ,M4C,A0430/13TEY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R1C(ZZC),East York,NA,To construct a new two-storey single family detached dwelling on the newly created lot.  ,"Jul 31, 2013",3:30 p.m.,"Committee Room 1, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,Yes,"Aug 20, 2013",NA,NA,NA,NA,OMB Appeal
1865367,3355827,MV,2013-05-16,North York,08,127,GLENCAIRN,AVE, ,M4R,A400/13NY,Add/Alt to Existing Res <= 3 units,NR Addition,Preliminary Project Review,R1 Z0.35 (ZR),Toronto,NA,To construct a new carport attached to the existing dwelling.,"Jun 19, 2013",3:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Jul 9, 2013",NA,NA,NA,NA,Tentatively Scheduled
1865368,3374873,MV,2013-06-12,Unknown,NA,NA,NA, , ,   ,NA,Add/Alt to Existing Res <= 3 units,R Addition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865369,3376839,MV,2013-06-14,Scarborough,21,30,PROGRESS,AVE, ,M1P,A167/13SC,All Other,Other,Preliminary Project Review,NA,NA,Progress Employment District,Proposed place of worship in existing 816 square metre industrial building.  Phase 1 to consist of Place of Worship in half the building with the other half remaining industrial uses.  Phase II proposes entire use of building as place of worship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
