application_type,year,planning_district,decision
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
CO,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
MV,2016,Toronto East York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
CO,2016,Scarborough,0
CO,2016,Scarborough,1
CO,2016,Etobicoke York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,Toronto East York,1
CO,2016,Etobicoke York,0
CO,2016,Scarborough,1
MV,2016,Toronto East York,0
MV,2016,Toronto East York,0
MV,2016,North York,0
CO,2016,North York,0
MV,2016,North York,0
CO,2016,North York,0
CO,2016,Toronto East York,1
MV,2016,Toronto East York,1
MV,2016,North York,1
MV,2016,Toronto East York,0
MV,2016,Toronto East York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,1
MV,2016,Scarborough,0
MV,2016,Toronto East York,0
CO,2016,Etobicoke York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
CO,2016,Scarborough,1
MV,2016,North York,1
CO,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,0
MV,2016,Scarborough,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,Toronto East York,0
MV,2016,North York,0
MV,2016,North York,1
CO,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,Etobicoke York,1
CO,2016,Etobicoke York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
CO,2016,Toronto East York,0
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,North York,1
CO,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,North York,0
MV,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,Etobicoke York,0
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
CO,2016,North York,0
CO,2016,North York,0
CO,2016,Etobicoke York,1
MV,2016,Etobicoke York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,1
CO,2016,Etobicoke York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,1
CO,2016,Scarborough,1
MV,2016,Toronto East York,1
CO,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,Toronto East York,0
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,0
MV,2016,Toronto East York,1
MV,2016,Toronto East York,1
CO,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,Toronto East York,1
MV,2016,North York,0
CO,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,0
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,Toronto East York,1
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,Toronto East York,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,Scarborough,0
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,Toronto East York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,0
CO,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,Scarborough,0
MV,2016,North York,1
CO,2016,North York,1
MV,2016,North York,1
MV,2016,North York,1
MV,2016,North York,0
MV,2016,North York,1
MV,2016,Scarborough,1
MV,2016,North York,0
MV,2016,North York,0
CO,2016,North York,0
CO,2016,North York,1
MV,2016,North York,0
MV,2017,North York,1
CO,2017,North York,1
MV,2017,North York,0
CO,2017,North York,0
MV,2017,North York,1
MV,2017,North York,1
CO,2017,Toronto East York,1
CO,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,0
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,Toronto East York,0
MV,2017,North York,0
MV,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Toronto East York,0
MV,2017,Etobicoke York,1
MV,2017,North York,0
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,0
MV,2017,North York,1
MV,2017,Toronto East York,1
MV,2017,Etobicoke York,1
MV,2017,Etobicoke York,1
MV,2017,Etobicoke York,1
CO,2017,North York,0
MV,2017,North York,1
MV,2017,North York,1
CO,2017,Etobicoke York,1
MV,2017,North York,0
MV,2017,Scarborough,1
MV,2017,North York,1
MV,2017,Toronto East York,0
MV,2017,North York,1
MV,2017,North York,1
CO,2017,North York,0
MV,2017,North York,0
MV,2017,North York,0
MV,2017,North York,0
MV,2017,North York,0
MV,2017,North York,0
CO,2017,North York,1
MV,2017,North York,1
MV,2017,Toronto East York,1
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Scarborough,1
CO,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,0
CO,2017,North York,0
MV,2017,North York,0
MV,2017,North York,0
MV,2017,North York,1
CO,2017,North York,0
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,Toronto East York,1
MV,2017,North York,0
MV,2017,North York,1
MV,2017,Toronto East York,1
MV,2017,North York,1
MV,2017,North York,1
CO,2017,Toronto East York,1
MV,2017,North York,1
MV,2017,Toronto East York,1
MV,2017,North York,1
CO,2017,Scarborough,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,North York,0
CO,2017,North York,1
MV,2017,North York,0
MV,2017,Etobicoke York,1
MV,2017,North York,0
MV,2017,North York,0
MV,2017,North York,0
MV,2017,Etobicoke York,1
MV,2017,North York,0
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,Scarborough,1
CO,2017,Toronto East York,0
MV,2017,Toronto East York,0
CO,2017,Etobicoke York,0
CO,2017,Etobicoke York,1
MV,2017,Etobicoke York,1
MV,2017,Toronto East York,0
CO,2017,Etobicoke York,1
MV,2017,North York,1
CO,2017,Etobicoke York,0
CO,2017,North York,0
CO,2017,Etobicoke York,1
CO,2017,Etobicoke York,1
MV,2017,Etobicoke York,1
MV,2017,Etobicoke York,1
CO,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
CO,2017,Scarborough,1
MV,2017,North York,1
MV,2017,Toronto East York,0
CO,2017,Scarborough,0
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
CO,2017,Scarborough,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
MV,2017,North York,1
CO,2017,Etobicoke York,0
MV,2017,North York,1
CO,2017,Toronto East York,0
MV,2017,Toronto East York,0
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Scarborough,1
CO,2017,North York,0
MV,2017,North York,1
MV,2017,North York,1
MV,2017,Toronto East York,0
CO,2017,North York,1
CO,2017,Toronto East York,1
MV,2017,Etobicoke York,0
CO,2017,Etobicoke York,1
CO,2017,North York,1
MV,2017,North York,1
CO,2017,North York,0
CO,2017,Toronto East York,0
CO,2017,Etobicoke York,0
CO,2017,Etobicoke York,1
CO,2017,North York,1
MV,2017,Toronto East York,0
CO,2017,North York,0
MV,2017,North York,0
MV,2017,North York,0
CO,2017,Etobicoke York,1
MV,2017,North York,1
MV,2017,Toronto East York,1
CO,2017,Scarborough,1
CO,2017,Etobicoke York,1
CO,2017,North York,0
MV,2017,North York,1
CO,2017,North York,0
CO,2017,North York,0
CO,2017,Etobicoke York,0
CO,2018,Etobicoke York,0
MV,2018,Etobicoke York,0
CO,2018,Toronto East York,0
CO,2018,Etobicoke York,1
MV,2018,Toronto East York,0
CO,2018,Toronto East York,1
MV,2018,Toronto East York,1
MV,2018,North York,1
CO,2018,Toronto East York,1
CO,2018,Etobicoke York,1
CO,2018,Etobicoke York,1
CO,2018,Etobicoke York,0
CO,2018,North York,1
CO,2018,North York,1
CO,2018,Etobicoke York,1
MV,2018,Etobicoke York,1
MV,2018,Etobicoke York,1
CO,2018,Etobicoke York,0
CO,2018,North York,0
